model,dataset,mae,rmse,r2,gerado_em
RandomForest,GroupKFold,4.7711456536444095,6.301458483349451,-0.12049351681173756,2025-11-24T12:59:20.984763+00:00
Lasso,GroupKFold,469.98523915560367,708.3059294424207,-18845.44505930132,2025-11-24T12:59:20.984763+00:00
LinearRegression,GroupKFold,473.8255805053941,713.9356636748155,-19122.46647306608,2025-11-24T12:59:20.984763+00:00
RandomForest,Holdout_2025,4.178036998420216,5.4615525285103566,-4.921579238995477,2025-11-24T12:59:20.984763+00:00
