cod_mun,municipio,ano,populacao,internacoes_hidricas,internacoes_hidricas_10k,internacoes_total_10k,idx_atend_agua_total,idx_tratamento_esgoto,idx_coleta_esgoto,pct_conformes_global,idx_perdas_distribuicao,despesa_saude_pc,pct_despesa_investimentos_saude,chuva_total_mm,temp_media_c,deficit_atendimento,deficit_tratamento,alerta_qualidade,perdas_excesso,score_priorizacao,prioridade_categoria,gerado_em
1501303,BARCARENA,2023,128180.0,76,4.79938136885699,584.3324265738719,80.72,0.09,1.1,64.48679081853616,34.02,1223.68,2.9,0.0,26.897877947295424,19.28,99.91,35.513209181463836,34.02,0.48273613969305873,Atenção,2025-11-19T17:25:43.616823+00:00
1506500,SANTA IZABEL DO PARÁ,2023,72346.5,41,8.975090406388077,428.71641675150795,86.55,0.09,1.1,75.82264957264958,34.02,573.55,0.39,1890.2,27.36053772766696,13.450000000000003,99.91,24.17735042735042,34.02,0.4727208227004237,Atenção,2025-11-19T17:25:43.616823+00:00
1504422,MARITUBA,2023,130421.0,62,7.320034740507511,470.57009591680577,80.72,0.09,1.1,81.91082802547771,34.02,776.65,0.59,2631.2,27.53384778510839,19.28,99.91,18.089171974522287,34.02,0.4602336306195026,Atenção,2025-11-19T17:25:43.616823+00:00
1501501,BENEVIDES,2023,64274.0,5,2.647540178159722,423.58376972771794,80.72,0.09,1.1,81.25,48.335,770.21,1.42,2631.2,27.53384778510839,19.28,99.91,18.75,48.335,0.4386866300767748,Atenção,2025-11-19T17:25:43.616823+00:00
1506351,SANTA BÁRBARA DO PARÁ,2023,21630.0,0,1.6163018043838049,395.4251451428801,65.69,0.0,1.1,85.71428571428571,3.95,624.9,3.35,1890.2,27.36053772766696,34.31,100.0,14.285714285714292,3.95,0.38597440919815457,Atenção,2025-11-19T17:25:43.616823+00:00
1500800,ANANINDEUA,2023,528082.0,123,13.351613135356732,530.3931891056955,80.72,37.44,1.1,76.47058823529412,34.02,633.45,2.89,2631.2,27.53384778510839,19.28,62.56,23.529411764705884,34.02,0.3449190559573818,Atenção,2025-11-19T17:25:43.616823+00:00
1501402,BELÉM,2022,1489238.5,1242,15.86348772807531,463.542941753555,80.72,0.09,1.1,72.5328947368421,34.02,797.12,0.8,3721.4,26.875774781168676,19.28,99.91,27.467105263157904,34.02,0.5837083395228236,Atenção,2025-11-19T17:25:43.616823+00:00
1502400,CASTANHAL,2022,204459.0,197,7.636046930768417,611.2430170749063,80.72,0.09,1.1,75.82264957264958,34.02,924.61,1.68,1884.8,27.218585657370514,19.28,99.91,24.17735042735042,34.02,0.4815582925879497,Atenção,2025-11-19T17:25:43.616823+00:00
1506500,SANTA IZABEL DO PARÁ,2022,72346.5,61,8.975090406388077,428.71641675150795,87.98,0.09,1.1,75.82264957264958,19.14,507.38,5.14,1884.8,27.218585657370514,12.019999999999996,99.91,24.17735042735042,19.14,0.4366269520876538,Atenção,2025-11-19T17:25:43.616823+00:00
1504422,MARITUBA,2022,130421.0,42,7.320034740507511,470.57009591680577,80.72,0.09,1.1,93.10344827586206,34.02,673.24,1.82,3721.4,26.875774781168676,19.28,99.91,6.896551724137936,34.02,0.42756505308802073,Atenção,2025-11-19T17:25:43.616823+00:00
1501303,BARCARENA,2022,128180.0,89,4.79938136885699,584.3324265738719,80.72,0.09,1.1,85.74108818011257,34.02,1025.78,4.94,0.0,26.897877947295424,19.28,99.91,14.25891181988743,34.02,0.4206999367574693,Atenção,2025-11-19T17:25:43.616823+00:00
1501501,BENEVIDES,2022,64274.0,9,2.647540178159722,423.58376972771794,81.42,0.09,1.1,88.2720588235294,37.5,726.61,8.1,3721.4,26.875774781168676,18.58,99.91,11.727941176470594,37.5,0.39330787667561484,Atenção,2025-11-19T17:25:43.616823+00:00
1506351,SANTA BÁRBARA DO PARÁ,2022,21630.0,3,1.6163018043838049,395.4251451428801,68.05,0.0,1.08,85.71428571428571,4.91,729.63,0.91,1884.8,27.218585657370514,31.950000000000003,100.0,14.285714285714292,4.91,0.3782500613254258,Atenção,2025-11-19T17:25:43.616823+00:00
1500800,ANANINDEUA,2022,528082.0,88,13.351613135356732,530.3931891056955,80.72,37.53,1.1,91.44736842105263,34.02,593.56,2.53,3721.4,26.875774781168676,19.28,62.47,8.55263157894737,34.02,0.3007258056911573,Estável,2025-11-19T17:25:43.616823+00:00
1501402,BELÉM,2021,1506420.0,2465,16.36329841611237,469.99508769134775,80.72,0.09,1.1,60.60606060606061,34.02,752.01,0.51,4300.2,26.820137034026246,19.28,99.91,39.39393939393939,34.02,0.6241421336474058,Atenção,2025-11-19T17:25:43.616823+00:00
1504422,MARITUBA,2021,135812.0,82,6.037758077342208,454.1572173298383,80.72,0.09,1.1,70.0,34.02,544.79,1.93,4300.2,26.820137034026246,19.28,99.91,30.0,34.02,0.4805745348622763,Atenção,2025-11-19T17:25:43.616823+00:00
1502400,CASTANHAL,2021,205667.0,102,4.959473323381972,624.4074158712871,80.72,0.09,1.1,75.82264957264958,34.02,874.74,2.04,1728.4,26.289340962068234,19.28,99.91,24.17735042735042,34.02,0.4514503101787587,Atenção,2025-11-19T17:25:43.616823+00:00
1501303,BARCARENA,2021,129333.0,60,4.639187214400037,667.656359939072,80.72,0.09,1.1,83.76326010086372,34.02,862.4,2.36,0.0,26.897877947295424,19.28,99.91,16.236739899136282,34.02,0.42467076665346204,Atenção,2025-11-19T17:25:43.616823+00:00
1501501,BENEVIDES,2021,64780.0,15,2.315529484408768,436.2457548626119,78.78,0.09,1.1,88.2720588235294,47.75,546.54,6.08,4300.2,26.820137034026246,21.22,99.91,11.727941176470594,47.75,0.4212206839578393,Atenção,2025-11-19T17:25:43.616823+00:00
1506500,SANTA IZABEL DO PARÁ,2021,72856.0,45,6.176567475568245,464.0661029976941,86.55,0.09,1.1,75.82264957264958,16.4,509.57,3.49,1728.4,26.289340962068234,13.450000000000003,99.91,24.17735042735042,16.4,0.40544261262028297,Atenção,2025-11-19T17:25:43.616823+00:00
1506351,SANTA BÁRBARA DO PARÁ,2021,21811.0,4,1.8339370042639034,425.0149007381596,65.79,0.0,1.1,85.71428571428571,2.16,784.03,2.8,1728.4,26.289340962068234,34.209999999999994,100.0,14.285714285714292,2.16,0.38437584188382484,Atenção,2025-11-19T17:25:43.616823+00:00
1500800,ANANINDEUA,2021,540410.0,213,3.9414518606243405,458.6147554634444,80.72,37.44,1.1,75.0,34.02,511.44,5.2,4300.2,26.820137034026246,19.28,62.56,25.0,34.02,0.24335923844270616,Estável,2025-11-19T17:25:43.616823+00:00
1500800,ANANINDEUA,2020,535547.0,1219,22.761774410089124,534.9297073832922,80.72,0.18,1.1,75.0,34.02,626.14,1.59,4080.6,26.958148104124568,19.28,99.82,25.0,34.02,0.6536246141659344,Atenção,2025-11-19T17:25:43.616823+00:00
1501402,BELÉM,2020,1499641.0,2304,15.36367704003825,409.21793949351877,80.72,0.09,1.1,70.14887941145246,34.02,705.64,0.7,4080.6,26.958148104124568,19.28,99.91,29.851120588547545,34.02,0.5850444870688918,Atenção,2025-11-19T17:25:43.616823+00:00
1504422,MARITUBA,2020,133685.0,115,8.602311403672813,449.33986610315293,80.72,0.09,1.1,72.87671232876713,34.02,562.77,0.71,4080.6,26.958148104124568,19.28,99.91,27.123287671232873,34.02,0.5010260001387274,Atenção,2025-11-19T17:25:43.616823+00:00
