cod_mun,municipio,ano,populacao,prioridade_categoria,taxa_observada,taxa_prevista,erro_absoluto,gerado_em
1502400,CASTANHAL,2025,209126.0,Atenção,6.216348038981284,5.7955857683660605,0.4207622706152234,2025-11-24T12:59:20.984763+00:00
1504422,MARITUBA,2018,129321.0,Atenção,19.331740397924545,14.988202626625867,4.343537771298678,2025-11-24T12:59:20.984763+00:00
1504422,MARITUBA,2019,131521.0,Atenção,16.499266276868333,13.126667762924804,3.3725985139435295,2025-11-24T12:59:20.984763+00:00
1504422,MARITUBA,2020,133685.0,Atenção,8.602311403672813,8.146202372855926,0.4561090308168865,2025-11-24T12:59:20.984763+00:00
1504422,MARITUBA,2021,135812.0,Atenção,6.037758077342208,7.398137243030663,1.360379165688455,2025-11-24T12:59:20.984763+00:00
1504422,MARITUBA,2022,130421.0,Atenção,7.320034740507511,7.149978603467448,0.17005613704006262,2025-11-24T12:59:20.984763+00:00
1504422,MARITUBA,2023,130421.0,Atenção,7.320034740507511,6.62022801691782,0.699806723589691,2025-11-24T12:59:20.984763+00:00
1504422,MARITUBA,2024,118998.0,Atenção,2.01684061917007,3.7913975544084937,1.7745569352384236,2025-11-24T12:59:20.984763+00:00
1504422,MARITUBA,2025,119437.0,Atenção,1.0047137821613068,3.0655837761475806,2.060869993986274,2025-11-24T12:59:20.984763+00:00
1506351,SANTA BÁRBARA DO PARÁ,2018,20704.0,Atenção,4.346986089644513,4.429046360646409,0.08206027100189583,2025-11-24T12:59:20.984763+00:00
1506351,SANTA BÁRBARA DO PARÁ,2019,21079.0,Atenção,2.846434840362446,3.4944817281059932,0.648046887743547,2025-11-24T12:59:20.984763+00:00
1506351,SANTA BÁRBARA DO PARÁ,2020,21449.0,Atenção,1.3986666045037066,1.731492942011376,0.33282633750766943,2025-11-24T12:59:20.984763+00:00
1506351,SANTA BÁRBARA DO PARÁ,2021,21811.0,Atenção,1.8339370042639034,2.129216827325861,0.29527982306195777,2025-11-24T12:59:20.984763+00:00
1506351,SANTA BÁRBARA DO PARÁ,2022,21630.0,Atenção,1.6163018043838049,2.3574364650668373,0.7411346606830325,2025-11-24T12:59:20.984763+00:00
1506351,SANTA BÁRBARA DO PARÁ,2023,21630.0,Atenção,1.6163018043838049,1.8303894617739545,0.21408765739014957,2025-11-24T12:59:20.984763+00:00
1506351,SANTA BÁRBARA DO PARÁ,2024,22288.0,Atenção,0.8973438621679828,1.8091477775742764,0.9118039154062936,2025-11-24T12:59:20.984763+00:00
1506351,SANTA BÁRBARA DO PARÁ,2025,22530.0,Atenção,0.887705281846427,1.3444819772498027,0.4567766954033756,2025-11-24T12:59:20.984763+00:00
1506500,SANTA IZABEL DO PARÁ,2018,69746.0,Atenção,9.319530869153787,8.816308234524344,0.5032226346294433,2025-11-24T12:59:20.984763+00:00
1506500,SANTA IZABEL DO PARÁ,2019,70801.0,Atenção,11.440516376887333,11.075886079951808,0.36463029693552507,2025-11-24T12:59:20.984763+00:00
1506500,SANTA IZABEL DO PARÁ,2020,71837.0,Atenção,8.630649943622368,8.827717674726888,0.1970677311045197,2025-11-24T12:59:20.984763+00:00
1506500,SANTA IZABEL DO PARÁ,2021,72856.0,Atenção,6.176567475568245,7.631854421626196,1.4552869460579512,2025-11-24T12:59:20.984763+00:00
1506500,SANTA IZABEL DO PARÁ,2022,72346.5,Atenção,8.975090406388077,8.054937389833878,0.9201530165541989,2025-11-24T12:59:20.984763+00:00
1506500,SANTA IZABEL DO PARÁ,2023,72346.5,Atenção,8.975090406388077,8.795168312926123,0.1799220934619541,2025-11-24T12:59:20.984763+00:00
1506500,SANTA IZABEL DO PARÁ,2024,78317.0,Atenção,17.237636783840035,12.641439071601672,4.596197712238363,2025-11-24T12:59:20.984763+00:00
1506500,SANTA IZABEL DO PARÁ,2025,79195.0,Atenção,6.566071090346613,6.282521005329286,0.2835500850173265,2025-11-24T12:59:20.984763+00:00
