feature,delta_aplicado,impacto_medio_taxa,impacto_min_taxa,impacto_max_taxa,gerado_em
idx_atend_agua_total,5.0,0.1094913706239466,-0.009967931794862217,0.2709750780576059,2025-11-24T12:59:20.984763+00:00
idx_tratamento_esgoto,5.0,0.1230980183706859,0.0,0.1599594645374527,2025-11-24T12:59:20.984763+00:00
pct_conformes_global,5.0,0.185874373235307,-0.03462226795039758,0.6398112065158044,2025-11-24T12:59:20.984763+00:00
pct_despesa_investimentos_saude,0.5,-0.008968604529624724,-0.17155135500778584,0.10741192364953545,2025-11-24T12:59:20.984763+00:00
pct_receita_propria_asps,0.5,-3.3306690738754696e-16,-1.7763568394002505e-15,4.440892098500626e-16,2025-11-24T12:59:20.984763+00:00
pct_transferencias_sus_recursos,0.5,1.1102230246251565e-16,0.0,8.881784197001252e-16,2025-11-24T12:59:20.984763+00:00
